Blend,Head,Type,Brand,POS,sw1,sw1_POS,sw2,sw2_POS,sw3,sw3_POS,Source,sw source,Definition,LengthDiffSyll,LengthDiffSeg,sw1_stress,sw2_stress,StressReduction,StressHypothesis,SegReduction,sw1length,sw1percent,sw1deleted,sw2length,sw2percent,sw2deleted,SegHypothesis
abhorrible,2,WW,no,adj,abhor,v,horrible,adj,,,Thurner (OED),,dreadful; detestable,-1,-4,1,1,0,0,0,5,1,0,7,1,0,0
abnormous,1,LR,no,adj,abnormal,adj,enormous,adj,,,Thurner (WE),,abnormal or irregular,0,1,1,1,0,1,1,8,0.875,1,7,0.857142857,1,0
abortuary,2,LR,no,n,abortion,n,mortuary,n,,,Thurner,,"an abortion clinic, labeled as such by foes of legalized abortion",-1,-3,1,1,0,0,1,7,0.571428571,3,8,0.875,1,1
Abracurldabra,both,embed,yes,n,Abracadabra,expr,curl,n,,,Thurner (BTC),KS,hair-curling appliance (Windmere Corp),,,,,,,,,,,,,,
absolete,2,LR,no,adj,absolute,adj,obsolete,adj,,,Thurner (OED),,"complete, finished, or done with",0,0,1,1,0,0,1,7,0.857142857,1,7,0.857142857,1,0
abusak,2,WR,no,n,abuse,v,Muzak,n,,,Thurner (SL),,a slang term for elevator music,0,-1,1,1,0,0,0.5,5,1,0,6,0.833333333,1,0
acceleread,1,LW,no,v,accelerate,v,read,v,,,Thurner (MBN),,the act of increasing one's reading speed,3,11,1,0.5,0.5,1,1,8,0.75,2,3,0.666666667,1,0
adaptitude,2,WW,no,n,adapt,v,aptitude,n,,,Thurner (WE),,a special ability or aptitude,-1,-4,1,1,0,0,0,5,1,0,7,1,0,0
administralia,1,LR,no,n,administration,n,Australia,n,,,Thurner (JA),,"the uppper echelon of corporate management, a realm which is, for many employees, as remote and mysterious as a distant foreign land",2,9,1,1,0,1,1,13,0.846153846,2,8,0.875,1,1
administrivia,2,LR,no,n,administration,n,trivia,n,,,Thurner (JO),,a derisive name for the presumed duties of an administrator,2,11,1,1,0,0,0.5,13,0.769230769,3,6,1,0,1
adrenergic,2,LW,no,adj,adrenalin,n,energic,adj,,,Thurner (DNW),,pertaining to physiological actions and reactions resulting from the release of adrenalin,1,5,1,1,0,0,0.5,9,0.666666667,3,6,1,0,1
adverteasement,matrix,embed,no,n,advertisement,n,tease,v,,,Thurner (WW),,newspaper slang for a phony print ad which is meant to help determine whether customers are actually reading a newspaper's printed advertising,,,,,,,,,,,,,,
advertique,both,LR,no,n,advertisement,n,antique,n,,,Thurner (OED),,an antique collector's name for an early piece of advertising,2,10,0.5,1,0.5,0,1,11,0.454545455,6,5,0.8,1,1
advertorial,both,LR,no,n,advertisement,n,editorial,n,,,Thurner (NW),,a feature in a newspaper or magazine which appears as an editorial but is paid for by an advertiser,-1,0,0.5,1,0.5,0,1,11,0.545454545,5,9,0.777777778,2,1
Africar,2,WW,no,n,Africa,n,car,n,,,Thurner (NW),KS,a light all-terrain vehicle which has been designed for use in the African wilderness,2,7,1,0.5,0.5,0,0.5,6,0.833333333,1,3,1,0,1
Africrafts,2,LW,yes,n,Africa,n,crafts,n,,,Thurner (BTC),KS,"woodenware figurines, drums, stools (Holladay International)",,,,,,,,,,,,,,
aggranoy,both,LR,no,v,aggravate,v,annoy,v,,,Thurner (DS),,"Australian slang, meaning to annoy",1,6,0.5,1,0.5,0,0.5,7,0.571428571,3,3,1,0,1
aggrovoke,both,LR,no,v,aggravate,v,provoke,v,,,Thurner (DS),,"Australian slang, meaning to incite or provoke",1,3,0.5,1,0.5,0,1,7,0.714285714,2,6,0.833333333,1,1
agreemony,2,WR,no,n,agree,v,acrimony,n,,,Thurner (OED),,"agreeableness, the opposite of acrimony",-2,-8,1,0,1,0,0.5,4,1,0,8,0.625,3,0
agrimation,2,LR,no,n,agriculture,n,automation,n,,,Thurner (AM),,the use of automated systems in farming,0,1,0.5,1,0.5,1,1,9,0.555555556,4,8,0.625,3,1
agrindustry,2,LW,no,n,agriculture,n,industry,n,,,Thurner (BNE),,a comprehensive term encompassing the various manufacturing and service industries related to agriculture,1,3,0.5,1,0.5,1,0.5,9,0.555555556,4,8,1,0,1
ailevator,both,LR,no,n,aileron,n,elevator,n,,,Thurner (WE),,an airplane control surface that combines the functions of an aileron and an elevator,-1,-4,1,1,0,1,1,5,0.6,2,7,0.857142857,1,1
Airacuda,2,WR,no,n,air,n,barracuda,n,,,Thurner (AEM),,the name given to an American fighter-bomber aircraft introduced in 1937,-3,-12,0.5,1,0.5,1,0.5,2,1,0,8,0.875,1,0
airbrasive,2,WR,no,adj,air,n,abrasive,adj,,,Thurner (WE),,pertaining to the grinding of tooth surfaces with a stream of abrasive particles under air or gas pressure,-2,-9,0.5,1,0.5,1,0.5,2,1,0,7,0.857142857,1,0
airdraulic,2,WR,no,adj,air,n,hydraulic,adj,,,Thurner (WE),,characteristic of a process which combines pneumatic and hydraulic operations,-2,-10,0.5,1,0.5,1,0.5,2,1,0,8,0.75,2,0
airmada,2,WR,no,n,air,n,armada,n,,,Thurner (DAS),,a large group or formation of warplanes,-2,-8,0.5,1,0.5,1,0.5,2,1,0,6,0.833333333,1,0
airphibian,2,WR,no,n,air,n,amphibian,n,,,Thurner (NA),,an all-purpose vehicle proposed by futurists during the 1950s,-3,-12,0.5,1,0.5,1,0.5,2,1,0,8,0.75,2,0
airtillery,2,WR,no,n,air,n,artillery,n,,,Thurner (DNW),,bombardment consisting of guided missiles or other long-range weapons fired from surface launchers,-3,-11,0.5,1,0.5,1,0.5,2,1,0,7,0.857142857,1,0
Alaskimo,2,LR,yes,n,Alaska,n,eskimo,n,,,Thurner (BTC),,sporting goods (Stearns),,,,,,,,,,,,,,
alcoholiday,2,WW,no,n,alcohol,n,holiday,n,,,Thurner (SEL),,a holiday in which the primary activity is the drinking of alcoholic beverages,0,1,0.5,1,0.5,1,0,7,1,0,6,1,0,0
aldermanity,2,WR,no,n,alderman,n,humanity,n,,,Thurner (DS),,the quality of being an alderman,-1,-4,0.5,1,0.5,1,1,7,0.857142857,1,9,0.666666667,3,0
alegar,2,LR,no,n,ale,n,vinegar,n,,,Thurner (WE),,vinegar made from ale; malt vinegar,-2,-8,1,1,0,0,0.5,2,1,0,6,0.5,3,0
alibiography,2,WW,no,n,alibi,n,biography,n,,,Thurner (WW),,an autobiography offered as an explanation or apology for the behavior of the author,-1,-5,0.5,1,0.5,1,0,5,1,0,8,1,0,0
Aliencounter,2,WW,yes,n,alien,n,encounter,n,,,Thurner (BTC),KS,computer software (Milliken Publishing Co.),,,,,,,,,,,,,,
alphabetterment,2,WW,no,n,alphabet,n,betterment,n,,,Thurner (MBD),,"government agencies or programs which are meant to promote economic recover and social welfare, so named because they are often characterized by acronymic labels",0,-1,0.5,1,0.5,1,0,7,1,0,8,1,0,0
alphametic,both,LR,no,n,alphabetic,adj,arithmetic,n,,,Thurner (BDN),,a mathematical puzzle in which a problem is presented using letters instead of numerals,0,0,1,1,0,1,1,9,0.888888889,1,9,0.555555556,4,0
altazimuth,both,LR,no,n,altitude,n,azimuth,n,,,Thurner (ID),,"the location of an airplane in flight, as determined by its distance from the ground and its relation to the arc of the curved horizon",0,1,0.5,1,0.5,0,0.5,7,0.571428571,3,6,1,0,1
altiloquence,2,LR,no,n,altitude,n,eloquence,n,,,Thurner (WAW),,high-flown or pompous oratory,0,-1,0.5,1,0.5,1,0.5,7,0.571428571,3,8,1,0,1
alundum,both,LR,no,n,aluminum,n,corundum,n,,,Thurner (OED),,"a hard material created by fusing aluminum in a furnace, used mainly as an abrasive agent",1,3,1,1,0,1,1,8,0.375,5,7,0.714285714,2,1
ambiloquence,2,LR,no,n,ambiguous,adj,eloquence,n,,,Thurner (WAW),,skill in the art of double talk,1,3,1,1,0,0,1,9,0.666666667,3,8,0.875,1,1
ambisextrous,matrix,embed,no,adj,ambidextrous,adj,sex,n,,,Thurner (WE),,a characteristic of one whose sex is not readily distinguishable by appearance alone; also used to describe a person who is bisexual,,,,,,,,,,,,,,
Amerasian,both,LW,no,n,American,n,Asian,n,,,Thurner (WES),,a person of mixed American and Asian ancestry,2,8,0,1,1,0,0.5,8,0.25,6,4,1,0,1
Amerathon,both,LW,yes,n,America,n,marathon,n,,,Thurner (BTC),KS,tires (Carlisle Corp),,,,,,,,,,,,,,
Amerenglish,2,LW,no,n,American,adj,English,n,,,Thurner (OED),,the particular form of English that is spoken in America,2,6,0,1,1,1,0.5,8,0.25,6,6,1,0,1
Americaid,2,LR,yes,n,America,n,aid,n,,,Thurner (WO),,"a word coined by staff members of the Nixon administration in 1972, offered to take the place and also to relieve the stigma of the word welfare",,,,,,,,,,,,,,
Americanecdote,2,WW,no,n,American,adj,anecdote,n,,,Thurner,,an anecdote that involves Americans or is characteristic of American life,1,3,0.5,1,0.5,1,0.5,8,0.875,1,7,1,0,1
Americards,2,WW,yes,n,America,n,cards,n,,,Thurner (TND),KS,Christmas cards (Americom Corp.),,,,,,,,,,,,,,
Americola,2,LW,yes,n,America,n,cola,n,,,Thurner (BTC),KS,Soft drinks (Polar Corp.),,,,,,,,,,,,,,
Americrafts,2,LW,yes,n,America,n,crafts,n,,,Thurner (BTC),KS,"Decorative accessories (White Consolodated Industries, Inc.)",,,,,,,,,,,,,,
Americut,both,LW,yes,n,America,n,cut,n,,,Thurner (BTC),KS,Steel siding (Alside Inc.),,,,,,,,,,,,,,
Amerindian,2,LW,no,n,American,n,Indian,n,,,Thurner (AL),,an Indian of the North American continent,1,4,0,1,1,1,0.5,8,0.25,6,6,1,0,1
ampacity,2,LR,no,n,ampere,n,capacity,n,,,Thurner (DST),,a means of rating current-carrying capacity as measured in amperes,-2,-7,0.5,1,0.5,1,1,5,0.6,2,8,0.75,2,1
Amplifire,1,orth,yes,n,amplifier,n,fire,n,,,Thurner (BTC),KS,"head extractors for fireplaces (Portland Willamette Division of Thomas Industries, Inc.)",,,,,,,,,,,,,,
anecdotage,2,WW,no,n,anecdote,n,dotage,n,,,Thurner (WE),,advanced age when accompanied by a tendency to reminisce,1,4,0.5,1,0.5,1,0,7,1,0,5,1,0,0
anecdotard,2,WW,no,n,anecdote,n,dotard,n,,,Thurner (WE),,a person exhibiting the characteristics of anecdotage,1,4,0.5,1,0.5,1,0,7,1,0,5,1,0,0
animatronics,2,LR,no,n,animate,v,electronics,n,,,Thurner (NW),,techniques of traditional pupetry combined with modern electronics to create special effects for use in modern film animation,-1,-7,0.5,1,0.5,1,0.5,6,1,0,11,0.636363636,4,0
animule,both,LW,no,n,animal,n,mule,n,,,Thurner (AET),,"American slang serving as a means of addressing an obstinate mule, later used in reference to any stubborn or troublesome animal",2,6,1,0.5,0.5,1,0.5,6,0.833333333,1,4,1,0,1
aniseed,2,LW,no,n,anise,n,seed,n,,,Thurner (WE),,"the seed of anise, an herb commonly used as a flavoring in cordials and cooking",1,3,1,0.5,0.5,0,0,4,1,0,3,1,0,0
ansurge,2,WW,no,n,answer,n,urge,n,,,Thurner (WO),,a name given to the sense of being overcome by an irrisistible urge to answer the telephone whenever it rings,1,4,1,0.5,0.5,0,0,4,1,0,2,1,0,0
anticipointment,both,LR,no,n,anticipation,n,disappointment,n,,,Thurner (AM),,"a sense of great anticipation, immediately followed by great disappointment",1,1,1,1,0,1,1,11,0.818181818,2,12,0.916666667,1,1
aphidozer,2,WR,no,n,aphid,n,hopperdozer,n,,,Thurner (WE),,"a device consisting of a hopper and revolving brushes, used to brush off and collect aphids from cultivated crops",-2,-8,1,1,0,0,0.5,4,1,0,8,0.5,4,0
applaudience,2,WW,no,n,applaud,v,audience,n,,,Thurner (FW),,an audience determined to be favorable to a performer or performers,-1,-3,1,1,0,0,0,5,1,0,6,1,0,0
applaudit,2,WW,no,n,applaud,v,plaudit,n,,,Thurner (OED),,a vigorous expression of approval,0,-1,1,1,0,0,0,5,1,0,6,1,0,0
apprehendicitis,2,WR,no,n,apprehend,v,appendicitis,n,,,Thurner (SEL),,psychiatric jargon referring to a condition in which intense feelings of apprehension are the cause of acute abdominal pain,-2,-7,0.5,1,0.5,1,0.5,8,1,0,11,0.909090909,1,0
Apricoating,2,LW,yes,n,apricot,n,coating,n,,,Thurner (BTC),KS,"fruit icing (Adolph J. Mainzer, Inc.)",,,,,,,,,,,,,,
Aqualarm,2,WW,yes,n,aqua,n,alarm,n,,,Thurner (BTC),KS,"Pool and spa flow switches, boat alarms (Aqualarm, Inc.)",,,,,,,,,,,,,,
archeolatry,2,LR,no,n,archeology,n,idolatry,n,,,Thurner (MBD),,worship of anything ancient or archaic,1,3,1,1,0,0,1,9,0.888888889,1,8,0.75,2,0
arcology,2,LR,no,n,architecture,n,ecology,n,,,Thurner (DJ),,a totally integrated city or environment enclosed within a single structure,0,2,0.5,1,0.5,1,1,9,0.444444444,5,7,0.857142857,1,1
argle,both,LR,no,v,argue,v,haggle,v,,,Thurner (BL),,to argue in a heated fashion,0,0,1,1,0,1,1,5,0.6,2,5,0.6,2,0
Aristocat,2,LW,yes,n,aristocrat,n,cat,n,,,Thurner (BTC),KS,toy cat (Elka Toys),,,,,,,,,,,,,,
Arithmetickle,2,WW,yes,n,arithmetic,n,tickle,n,,,Thurner (BTC),KS,computer software (Houghton Mifflin Co.),,,,,,,,,,,,,,
armoraider,2,WW,no,n,armor,n,raider,n,,,Thurner (NEW),,military slang for a soldier assigned to be the crew member of a tank or other vehicle,0,0,1,0.5,0.5,0,0,4,1,0,4,1,0,0
Aromanilla,2,WR,yes,n,aroma,n,vanilla,n,,,Thurner (TND),KS,vanilla flavorings (The Aromanilla Co.),,,,,,,,,,,,,,
asiotic,both,LR,no,adj,asinine,adj,idiotic,adj,,,Thurner (BL),,"idiotic, foolish",-1,-3,0.5,1,0.5,0,1,6,0.333333333,4,7,0.714285714,2,1
astrometry,both,LR,no,n,astronomy,n,geometry,n,,,Thurner (DST),,the branch of astronomy which deals with the geometric relationships of celestial bodies,0,1,1,1,0,1,1,9,0.777777778,2,8,0.75,2,0
Athleticare,2,WW,yes,n,athletic,adj,care,n,,,Thurner (BTC),KS,"elastic bandages, cold packs (Johnson & Johnson)",,,,,,,,,,,,,,
atomaniac,2,WW,no,n,atom,n,maniac,n,,,Thurner (DS),,a person who self-righteously proposes using atomic weapons on any country with a political ideology different from his own,-1,-4,0.5,1,0.5,1,0,4,1,0,6,1,0,0
atomechanics,2,WW,no,n,atom,n,mechanics,n,,,Thurner (OED),,the mechanics of atoms; the physical laws that determine the structure and behavior of atomic particles,-1,-6,0.5,1,0.5,1,0,4,1,0,8,1,0,0
Atomist,2,WW,yes,n,atom,n,mist,n,,,Thurner (BTC),KS,an electric mist sprayer (RL Corp.),,,,,,,,,,,,,,
austempering,2,LW,no,n,austenitic,adj,tempering,n,,,Thurner (DST),,a process for heat-treating austenitic steel,1,4,0,1,1,1,0.5,9,0.444444444,5,7,1,0,1
austern,both,LW,no,adj,austere,adj,stern,adj,,,Thurner (BL),,"of a severe and austere demeanor. Coined by John Wycliffe, 14th century English theologian",1,3,1,1,0,1,0.5,5,0.6,2,4,1,0,1
Australasian,both,LW,no,adj,Australian,adj,Asian,adj,,,Thurner (OED),,consisting of or characterized by a combination of that which is Australian and Asian,1,7,0,1,1,0,0.5,9,0.777777778,2,4,1,0,1
Australorp,2,LL,yes,n,Australian,adj,Orpington,n,,,Thurner (DS),,"An Australian breed of the black Orpington, a species of domesticated fowl originally bred in England",,,,,,,,,,,,,,
autel,2,LR,no,n,auto,n,hotel,n,,,Thurner (DNW),,a motel; autel eventually disappeared from comon usage because of the public's preference for the word motel,0,-2,0.5,1,0.5,1,1,3,0.666666667,1,5,0.6,2,0
autobesity,2,WW,no,n,auto,n,obesity,n,,,Thurner (DD),,advertising jargon coined by automobile dealers to describe an excess of vehicles on their sale lots,-2,-8,0.5,1,0.5,1,0,3,1,0,7,1,0,0
automobility,2,LW,no,n,automobile,n,mobility,n,,,Thurner (WE),,the use of automobiles for transport,0,0,1,1,0,0,0.5,8,0.875,1,8,1,0,1
autopia,2,LR,no,n,auto,n,utopia,n,,,Thurner (BNW),,a society which is dominated by the automobile,-2,-8,0.5,1,0.5,1,0.5,3,1,0,7,0.714285714,2,0
avigation,2,WR,no,n,aviation,n,navigation,n,,,Thurner (WE),,the science of aircraft navigation,0,-2,1,1,0,0,1,7,0.857142857,1,9,0.777777778,2,0
azaleamum,2,WR,no,n,azalea,n,chrysanthemum,n,,,Thurner (WE),,any of the varieties of profusely flowering dwarf chrysanthemum,-1,-7,1,1,0,0,0.5,6,1,0,11,0.363636364,7,0
backini,2,WR,no,n,back,n,bikini,n,,,Thurner (BAI),,a woman's bathing suit that is designed to fully expose the wearer's back,-2,-7,0.5,1,0.5,1,0.5,3,1,0,6,0.833333333,1,0
bacronym,2,WW,no,n,back,n,acronym,n,,,Thurner (FW),,an acronym in which the word formed by the initial letters appears to have been deliberately chosen to refer back to what is being abbreviated,-2,-8,1,1,0,0,0,3,1,0,7,1,0,0
bacterinert,2,LW,no,n,bacteria,n,inert,adj,,,Thurner (DNW),,resistant to the growth of bacteria,2,8,1,0.5,0.5,0,0.5,8,0.75,2,4,1,0,1
badvertising,2,WW,no,n,bad,n,advertising,n,,,Thurner (TM),,"advertising that is offensive, dim-witted, or inept. Also the name of an award given by Adweek Magazine acknowledging particularly egregious examples of such advertising",-3,-12,1,1,0,0,0,3,1,0,9,1,0,0
baffound,both,LR,no,v,baffle,v,confound,v,,,Thurner (BL),,to baffle or perplex,0,-2,0.5,1,0.5,0,1,5,0.6,2,7,0.571428571,3,0
Bakerloo,both,WR,no,n,Baker,n,Waterloo,n,,,Thurner (STY),,"the name given to a major route in London's underground rail system, running between Waterloo Station and Baker Street",-1,-4,1,1,0,1,0.5,4,1,0,6,0.5,3,0
Bakespeare,both,LR,no,n,Bacon,n,Shakespeare,n,,,Thurner (DS),,"a hypothetical hystorical figure, whimsically proposed as a compromise in the debate regarding whether Sir Francis Bacon is actually the author of Shakespeare's plays",0,-2,1,1,0,1,1,5,0.6,2,7,0.857142857,1,1
balloonatic,2,WW,no,n,balloon,n,lunatic,n,,,Thurner (DS),,military slang for a person who served in the observation or barrage balloon corps in either world war,-1,-4,1,1,0,0,0,5,1,0,7,1,0,0
ballute,2,LR,no,n,balloon,n,parachute,n,,,Thurner (WES),,"a small inflatable parachute deployed for the purpose of stabilization or deceleration, usually before a conventional chute opens",-1,-4,1,0,1,0,1,5,0.8,1,7,0.428571429,4,0
Baltimorons,2,LW,no,n,Baltimore,n,morons,n,,,Thurner (AL),,"a derogatory name for the residents of Baltimore, Maryland. Coined by journalist Harry Black of the Baltimore Evening Sun in 1922",1,4,0.5,1,0.5,1,0,8,1,0,6,1,0,0
bandstration,2,WR,no,n,band,n,orchestration,n,,,Thurner (WE),,the scoring of music for a band,-3,-13,0.5,1,0.5,1,0.5,4,1,0,11,0.636363636,4,0
banjoey,2,WR,no,n,banjo,n,joey,n,,,Thurner (DS),,"a banjo player. Joey is British slang for a clown, derived from the name of Joseph Grimaldi, famous 19th century English comic actor and clown",0,2,0.5,1,0.5,1,0,5,1,0,3,1,0,0
banjolin,both,WR,no,n,banjo,n,mandolin,n,,,Thurner (OED),,a musical instrument combining the characteristics of a mandolin and a banjo,-1,-5,1,1,0,1,0.5,5,1,0,8,0.625,3,0
banjorine,1,WR,no,n,banjo,n,tambourine,n,,,Thurner (WE),,"a banjo with a short neck, probably so-named because the belly and tension hoop of a banjo resemble a tambourine",-1,-4,0.5,1,0.5,0,0.5,5,1,0,7,0.428571429,4,0
banjulele,both,LR,no,n,banjo,n,ukelele,n,,,Thurner (OED),,a musical instrument which combines the characteristics of a banjo and a ukelele,-2,-7,0.5,1,0.5,0,1,5,0.8,1,8,0.625,3,0
bardolatry,2,WR,no,n,bard,n,idolatry,n,,,Thurner (MBD),,adoration of anything having to do with William Shakespeare,-3,-10,0.5,1,0.5,1,0.5,4,1,0,8,0.875,1,0
baritenor,both,LW,no,n,baritone,n,tenor,n,,,Thurner (TGP),,a vocalist with the voice of a baritone and the range of a tenor,1,5,1,0.5,0.5,1,0.5,7,0.857142857,1,4,1,0,1
barnacular,2,WR,no,n,barn,n,vernacular,n,,,Thurner (WAW),,another name for government gobbledygook; the use of the word barn is a scatological reference to the presumed origin of such material,-3,-11,0.5,1,0.5,1,0.5,4,1,0,9,0.777777778,2,0
barococo,both,WW,no,adj,baroque,adj,rococo,adj,,,Thurner (TGP),,"an architectural or decorative style charactherized by grotesquely elaborate features, or by the combination of elements of the baroque and rococo styles",-1,-4,0,0,0,1,0.5,4,1,0,6,0.666666667,2,0
barsolister,both,LR,no,n,barrister,n,solicitor,n,,,Thurner (BL),,"British slang for an attorney at law. Barsolistor acknowledges the two distinct types of attorney in Britain, since a barrister is expected to argue cases in court, while a solicitor specializes in out-of-court work",-1,-3,0.5,0,0.5,1,0.5,7,1,0,8,0.5,4,0
Bassassin,2,WR,yes,n,bass,n,assassin,n,,,Thurner (BTC),KS,sporting goods (Burke Flexo ProductsCo.),,,,,,,,,,,,,,
Batherapy,2,WW,yes,n,bath,n,therapy,n,,,Thurner (TND),KS,"mineral bath salts (General Therapeutics, Inc.)",,,,,,,,,,,,,,
Bathinette,2,WR,yes,n,bath,n,bassinette,n,,,Thurner (BTC),KS,"portable bathtub for infants (Century Products, Inc.)",,,,,,,,,,,,,,
bathtize,2,WR,no,n,bath,n,baptize,n,,,Thurner (MBN),,to baptize by total immersion,-1,-5,1,1,0,0,0.5,3,1,0,6,0.833333333,1,0
Batmania,2,WW,no,n,Batman,n,mania,n,,,Thurner,,the name given to the record-breaking box office popularity of the 1989 movie Batman,-1,-1,0.5,1,0.5,1,0.5,6,0.833333333,1,5,1,0,1
Beanimals,both,LR,yes,n,beanbag,n,animals,n,,,Thurner (BTC),KS,bean-bag animals (Possum Trot Corp.),,,,,,,,,,,,,,
Beatles,2,orth,yes,n,beat,n,beetles,n,,,Thurner,,"the name of a popular British music group, coined in imitation of Buddy Holly's band ""The Crickets""",,,,,,,,,,,,,,
beautilitarian,2,LW,no,n,beauty,n,utilitarian,n,,,Thurner (BNE),,a person who strives for the aesthetic ideal of beautility,-4,-15,0,1,1,1,0,5,1,0,12,1,0,0
beautility,both,LW,no,n,beauty,n,utility,n,,,Thurner (BNE),,that which combines the qualities of beauty and utility; design which is as practical as it is beautiful,-2,-7,0,1,1,0,0,5,1,0,8,1,0,0
beefalo,both,WR,no,n,beef,n,buffalo,n,,,Thurner (WES),,"a hybrid of bef cattle and the American buffalo, typically 3/8 buffalo and 5/8 domestic stock",-2,-7,1,1,0,1,0.5,3,1,0,6,0.833333333,1,0
Beenut Butter,2,WR,yes,n,bee,n,peanut butter,n,,,Thurner (BTC),KS,"a blend of peanut and honey (American Natural Foods, Inc.)",,,,,,,,,,,,,,
beerage,2,WR,no,n,beer,n,peerage,n,,,Thurner (WE),,"a derisive name for the British peerage; any group of English brewers, particularly those who have been made peers",-1,-4,1,1,0,0,0.5,3,1,0,5,0.8,1,0
beerocracy,2,WR,no,n,beer,n,bureaucracy,n,,,Thurner (DS),,collective term for a group or organization of brewers and tavern owners,-3,-13,0,1,1,1,0.5,3,1,0,10,0.8,2,0
beerstro,2,WR,no,n,beer,n,bistro,n,,,Thurner (SEL),,slang for a tavern,-1,-5,1,1,0,0,0.5,3,1,0,6,0.833333333,1,0
beezer,both,LR,no,n,beak,n,sneezer,n,,,Thurner (WE),,a slang name for a person's nose,-1,-4,1,1,0,1,1,3,0.666666667,1,5,0.6,2,0
begincement,both,WR,no,n,begin,n,commencement,n,,,Thurner (BL),,a beginning,-1,-7,1,1,0,1,0.5,5,1,0,10,0.6,4,0
belkupping,both,LR,no,n,belch,n,hiccupping,n,,,Thurner (BL),,"belching and hiccuping, occurring simultaneously",-2,-7,1,1,0,1,1,4,0.75,1,7,0.714285714,2,0
bellcony,2,WR,no,n,bell,n,balcony,n,,,Thurner (BL),,a bell tower,-2,-8,1,1,0,0,0.5,3,1,0,7,0.857142857,1,0
bellygram,2,WR,no,n,belly,n,telegram,n,,,Thurner (TM),,a variety of telegram in which delivery of the telegram message is accompanied by a belly dancing performance,-1,-6,1,1,0,0,0.5,4,1,0,8,0.75,2,0
bellyrina,2,WR,no,n,belly,n,ballerina,n,,,Thurner (BAI),,a belly dancer,-2,-7,0.5,1,0.5,1,0.5,4,1,0,7,0.714285714,2,0
bestraught,both,LR,no,adj,beset,adj,distraught,adj,,,Thurner (BL),,distressed or overwhelmed by a multitude of woes,0,-2,1,1,0,1,1,5,0.8,1,7,0.857142857,1,1
bewilderness,2,WW,no,n,bewilder,v,wilderness,n,,,Thurner (TM),,a state of total confusion; a sense of having lost one's bearings or sense of direction; a state of constant tension between sensations of freedom and restraint,0,-1,1,1,0,0,0,7,1,0,8,1,0,0
Bikexpert,2,WR,yes,n,bike,n,expert,n,,,Thurner (BTC),KS,bicycle parts and accessories (Gallop Cycle),,,,,,,,,,,,,,
bingle,both,LR,no,n,bob,n,shingle,n,,,Thurner (WE),,"a woman's hairstyle that is characterized by a short bob, partly shingled at the back",-1,-5,1,1,0,1,1,3,0.333333333,2,6,0.833333333,1,1
birthquake,2,WR,no,n,birth,n,earthquake,n,,,Thurner (DA),,"another name for the ""population explosion""",-1,-5,1,1,0,0,0,3,1,0,6,1,0,0
biscake,both,LR,no,n,biscuit,n,cake,n,,,Thurner (OED),,another name for a biscuit,1,5,1,0.5,0.5,1,0.5,6,0.666666667,2,3,1,0,1
Bisquick,both,LW,yes,n,biscuit,n,quick,adj,,,Thurner (BTC),KS,"baking mix (General Mills, Inc.)",,,,,,,,,,,,,,
bit,2,LR,no,n,binary,adj,digit,n,,,Thurner (DWP),,"computer jargon for an individual piece of data, the smallest part of a binary number",1,2,1,0,1,0,1,5,0.2,4,5,0.4,3,1
bizark,2,LR,no,adj,bizarre,adj,berserk,adj,,,Thurner (FW),,strangely frenzied,0,0,1,1,0,0,0.5,5,1,0,5,0.4,3,0
bizotic,both,LR,no,adj,bizarre,n,exotic,n,,,Thurner (SL),,"that which is odd, strange, or rarely seen",-1,-4,1,1,0,1,1,5,0.8,1,7,0.714285714,2,0
blacketeer,2,LR,no,n,black market,n,racketeer,n,,,Thurner (DS),,journalistic slang for a racketeer dealing in the black market,0,3,0.5,1,0.5,1,1,10,0.5,5,7,0.857142857,1,1
blacksploitation,2,WR,no,n,black,adj,exploitation,n,,,Thurner (DJ),,"one of a series of relatively low-budget films popular in the 1970s, featuring black characters in stereotypical super-hero roles",-3,-13,0.5,1,0.5,1,0.5,4,1,0,11,0.909090909,1,0
Blacula,2,WR,no,n,black,adj,Dracula,n,,,Thurner (MOT),,"the title of a 1972 blacksploitation film in which the lead character, a vampire, is black",-2,-8,1,1,0,0,0.5,4,1,0,8,0.75,2,0
bladderdash,2,WR,no,n,bladder,n,balderdash,n,,,Thurner (OED),,nonsensical speech or writing,-1,-5,1,1,0,0,0.5,5,1,0,8,0.875,1,0
blandiloquence,2,WR,no,n,bland,n,grandiloquence,n,,,Thurner (DS),,"smooth or flattering speech, intended to soothe emotions instead of arousing them",-3,-14,0,1,1,1,0.5,5,1,0,13,0.846153846,2,0
blandlubber,2,WR,no,n,bland,n,landlubber,n,,,Thurner (BAI),,a person whose diet consists exclusively of bland food,-2,-7,1,1,0,0,0,5,1,0,8,1,0,0
blandscape,2,WR,no,n,bland,n,landscape,n,,,Thurner,,scenery distinguished by the fact that it lacks any interesting features,-1,-5,1,1,0,0,0,5,1,0,8,1,0,0
blastard,2,WR,no,n,blast,n,bastard,n,,,Thurner (DNW),,"military slang for a robot bomb, used by the English in World War II to describe Germany's V-1 and V-2 rockets",-1,-3,1,1,0,0,0,5,1,0,6,1,0,0
